gift_id,gift_name,category,actual_cost,budget_cost,market_price,perceived_value,is_inventory,is_zero_budget,is_selectable,lifecycle_status,stock_status,stock_qty,budget_band,suitable_months,suitable_seasons,suitable_events,suitable_persona,suitable_play_types,gift_role,source_type,source_ref,confidence,price_source,pdf_price_clues,needs_manual_review,review_priority,review_notes,frontend_tags,skill_usage_notes,notes
gift_625e126e,好用的指标手册,学习资料,0,0,,,True,True,TRUE,confirmed,充足,,0,全年,全年,普通直播;大促;课程种草;成交后加赠,期货交易用户;TradingHero用户;指标学习用户,主播特权;前N名;保底赠送;学习礼包;福利叠加,学习礼包;产品相关权益,内部库存,用户指定0元库存礼品,高,用户确认0元库存,,FALSE,P0,已确认可被 skill/front-end 直接选择,0元库存;可选;不占预算,生成方案时可作为保底福利、主播特权、学习礼包叠加，不占用礼品预算。,指标学习、功能教育、成交后加赠
gift_34d42bc0,黄金手机贴,实物,0,0,,,True,True,TRUE,confirmed,充足,,0,全年,全年,普通直播;大促;课程种草;成交后加赠,期货交易用户;TradingHero用户;指标学习用户,主播特权;前N名;保底赠送;学习礼包;福利叠加,实物加赠;互动福利,内部库存,用户指定0元库存礼品,高,用户确认0元库存,,FALSE,P0,已确认可被 skill/front-end 直接选择,0元库存;可选;不占预算,生成方案时可作为保底福利、主播特权、学习礼包叠加，不占用礼品预算。,低成本实物感知、主播特权加赠
gift_aeab9c08,马年钥匙扣,实物,0,0,,,True,True,TRUE,confirmed,充足,,0,全年,全年,普通直播;大促;课程种草;成交后加赠,期货交易用户;TradingHero用户;指标学习用户,主播特权;前N名;保底赠送;学习礼包;福利叠加,实物加赠;互动福利,内部库存,用户指定0元库存礼品,高,用户确认0元库存,,FALSE,P0,已确认可被 skill/front-end 直接选择,0元库存;可选;不占预算,生成方案时可作为保底福利、主播特权、学习礼包叠加，不占用礼品预算。,低成本实物感知、主播特权加赠
gift_b12130e4,订单流桌垫,学习资料,0,0,,,True,True,TRUE,confirmed,充足,,0,全年,全年,普通直播;大促;课程种草;成交后加赠,期货交易用户;TradingHero用户;指标学习用户,主播特权;前N名;保底赠送;学习礼包;福利叠加,学习礼包;产品相关权益,内部库存,用户指定0元库存礼品,高,用户确认0元库存,,FALSE,P0,已确认可被 skill/front-end 直接选择,0元库存;可选;不占预算,生成方案时可作为保底福利、主播特权、学习礼包叠加，不占用礼品预算。,订单流学习、产品相关权益
gift_487f276e,黄金知识桌垫,学习资料,0,0,,,True,True,TRUE,confirmed,充足,,0,全年,全年,普通直播;大促;课程种草;成交后加赠,期货交易用户;TradingHero用户;指标学习用户,主播特权;前N名;保底赠送;学习礼包;福利叠加,学习礼包;产品相关权益,内部库存,用户指定0元库存礼品,高,用户确认0元库存,,FALSE,P0,已确认可被 skill/front-end 直接选择,0元库存;可选;不占预算,生成方案时可作为保底福利、主播特权、学习礼包叠加，不占用礼品预算。,黄金知识学习、产品相关权益
pending_gift_98e87c00,2026年期货人台历,学习资料,,,,,待确认,FALSE,FALSE,needs_review,待确认,,待确认,2;12,待确认,大促;互动直播;待确认,期货交易用户;TradingHero用户;待确认,二选一;抽奖/盲盒;前N名;福利叠加;待确认,学习礼包;产品相关权益,PDF候选,TradingHero2024年11-2025年12月活动方案.pdf;TradingHero2026年1-6月直播活动.pdf,中,多价格线索，需人工定价,200/368/1212,TRUE,P1,历史重复出现，优先确认库存、成本和市场价,待确认;候选礼品;不可自动选择,未人工确认前只能作为灵感，不得计入预算或自动推荐。,来自PDF候选审核表，需确认成本、库存、市场价后才能设为is_selectable=TRUE。
pending_gift_81c6c0f2,九阳养生壶,实物,,,,,待确认,FALSE,FALSE,needs_review,待确认,,待确认,1;11,待确认,大促;互动直播;待确认,期货交易用户;TradingHero用户;待确认,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,PDF候选,TradingHero2024年11-2025年12月活动方案.pdf;TradingHero2026年1-6月直播活动.pdf,中,多价格线索，需人工定价,30/70/80/89/100/179/180/200/250/300,TRUE,P1,历史重复出现，优先确认库存、成本和市场价,待确认;候选礼品;不可自动选择,未人工确认前只能作为灵感，不得计入预算或自动推荐。,来自PDF候选审核表，需确认成本、库存、市场价后才能设为is_selectable=TRUE。
pending_gift_764156b5,亚朵星球枕,实物,,,,,待确认,FALSE,FALSE,needs_review,待确认,,待确认,1;11,待确认,大促;互动直播;待确认,期货交易用户;TradingHero用户;待确认,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,PDF候选,TradingHero2024年11-2025年12月活动方案.pdf;TradingHero2026年1-6月直播活动.pdf,中,多价格线索，需人工定价,30/70/80/100/179/180/200/250/300/888/1000,TRUE,P1,历史重复出现，优先确认库存、成本和市场价,待确认;候选礼品;不可自动选择,未人工确认前只能作为灵感，不得计入预算或自动推荐。,来自PDF候选审核表，需确认成本、库存、市场价后才能设为is_selectable=TRUE。
pending_gift_949aa561,京东E卡,优惠券,,,200,,待确认,FALSE,FALSE,needs_review,待确认,,待确认,1,待确认,大促;互动直播;待确认,期货交易用户;TradingHero用户;待确认,二选一;抽奖/盲盒;前N名;福利叠加;待确认,现金感福利;价格补强,PDF候选,TradingHero2024年11-2025年12月活动方案.pdf;TradingHero2026年1-6月直播活动.pdf,中,面额来自PDF,200,TRUE,P1,现金感强、历史高频，可优先确认面额和成本,待确认;候选礼品;不可自动选择,未人工确认前只能作为灵感，不得计入预算或自动推荐。,来自PDF候选审核表，需确认成本、库存、市场价后才能设为is_selectable=TRUE。
pending_gift_85f07a12,便携屏,实物,,,,,待确认,FALSE,FALSE,needs_review,待确认,,待确认,3,待确认,大促;互动直播;待确认,期货交易用户;TradingHero用户;待确认,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,PDF候选,TradingHero2024年11-2025年12月活动方案.pdf;TradingHero2026年1-6月直播活动.pdf,中,多价格线索，需人工定价,100/200/380/425/480/546/2456/2567,TRUE,P1,历史重复出现，优先确认库存、成本和市场价,待确认;候选礼品;不可自动选择,未人工确认前只能作为灵感，不得计入预算或自动推荐。,来自PDF候选审核表，需确认成本、库存、市场价后才能设为is_selectable=TRUE。
