candidate_id,gift_name,source_platform,reference_price,budget_band,category,benefit_type,gift_score,trend_reason,persona_fit_notes,risk_notes,manual_status,manual_actual_cost,manual_budget_cost,manual_market_price,manual_stock_status,manual_notes
trend_candidate_22a4ed24ad,护眼台灯,manual_keyword_seed,169,151-200,实物,gift,92,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：办公室、桌面。,适合看盘和学习场景，感知价值比小礼品更强。,成本接近预算上限，需确认品牌和采购价。,纳入正式库,169,169,169,待采购,用户选择纳入；成本先按趋势候选参考价填写，后续按实际采购价修正。
trend_candidate_362ecc8c1f,200元京东卡,internal_rule,200,151-200,优惠券,voucher,92,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：京东。 这是现金感卡券，不改变 TradingHero 支付价。,现金感强，适合做主福利位；不改变软件支付价。,预算消耗高，需要控制名额或用于大促。,纳入正式库,200,200,200,按活动预算,用户选择纳入；卡券/立减金按面额计入预算，后续可按活动策略调整。
trend_candidate_0a50c9020f,200元立减金,internal_rule,200,151-200,立减金,price_discount,89,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：立减。 这是价格影响型福利，会直接降低最终支付价。,直接降低支付价，表达最简单，适合冲 GMV 主福利位。,预算消耗到上限，必须明确最终支付价。,纳入正式库,200,200,200,按活动预算,用户选择纳入；卡券/立减金按面额计入预算，后续可按活动策略调整。
trend_candidate_b787467bf7,100元京东E卡,internal_rule,100,51-100,优惠券,voucher,88,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：京东、E卡、100元。 这是现金感卡券，不改变 TradingHero 支付价。,现金感强，用户容易理解；不改变软件支付价。,不能说成降价，只能说加赠卡券。,纳入正式库,100,100,100,按活动预算,用户选择纳入；卡券/立减金按面额计入预算，后续可按活动策略调整。
trend_candidate_56a955d87c,交易复盘笔记本,manual_keyword_seed,49,1-50,学习资料,gift,85,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：交易。,能把购买理由从礼品拉回交易学习和复盘习惯。,需要定制内容才有差异化，否则像普通笔记本。,纳入正式库,49,49,49,待采购,用户选择纳入；成本先按趋势候选参考价填写，后续按实际采购价修正。
trend_candidate_98c495b7e4,100元立减金,internal_rule,100,51-100,立减金,price_discount,85,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：立减、100元。 这是价格影响型福利，会直接降低最终支付价。,直接降低支付价，适合推动临门一脚转化。,会改变最终支付价和 GMV 计算口径。,纳入正式库,100,100,100,按活动预算,用户选择纳入；卡券/立减金按面额计入预算，后续可按活动策略调整。
trend_candidate_36a35e2b48,桌面计时器,manual_keyword_seed,59,51-100,实物,gift,83,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：交易员、桌面、办公。,可包装成交易纪律、复盘番茄钟，适合 TradingHero 人群。,需要主播讲清楚使用场景，否则只是普通小物。,纳入正式库,59,59,59,待采购,用户选择纳入；成本先按趋势候选参考价填写，后续按实际采购价修正。
trend_candidate_dbf969d139,桌面静音小风扇,manual_keyword_seed,79,51-100,实物,gift,83,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：夏季、办公室、桌面。,适合长时间看盘用户，实用性强，直播间容易展示。,需要确认噪音、品牌和售后；不要采购过低价劣质款。,纳入正式库,79,79,79,待采购,用户选择纳入；成本先按趋势候选参考价填写，后续按实际采购价修正。
trend_candidate_078162a7a3,无线鼠标,manual_keyword_seed,89,51-100,实物,gift,83,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：办公室、桌面、交易员。,办公和看盘场景都能理解，实用性强。,品牌、手感和售后差异大，需要人工确认采购款。,纳入正式库,89,89,89,待采购,用户选择纳入；成本先按趋势候选参考价填写，后续按实际采购价修正。
trend_candidate_96c9a07a61,K线形态速查卡,manual_keyword_seed,29,1-50,学习资料,gift,82,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：交易。,和交易学习强相关，适合作为低成本产品相关权益。,内容质量要可靠，避免过度承诺交易效果。,纳入正式库,29,29,29,待采购,用户选择纳入；成本先按趋势候选参考价填写，后续按实际采购价修正。
