review_id,gift_name,category,review_decision,actual_cost,budget_cost,market_price,perceived_value,is_inventory,stock_status,stock_qty,suitable_months,suitable_play_types,gift_role,budget_band,source_pdf_price_clues,source_months,review_priority,review_reason,manual_notes
review_fcce0566,2026年期货人台历,学习资料,确认,,,,,待确认,待确认,,2;12,二选一;抽奖/盲盒;前N名;福利叠加;待确认,学习礼包;产品相关权益,待确认,200/368/1212,2;12,P1,历史重复出现，优先确认库存、成本和市场价,
review_b9669496,亚朵星球枕,实物,确认,,,,,待确认,待确认,,1;11,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,待确认,30/70/80/100/179/180/200/250/300/888/1000,1;11,P1,历史重复出现，优先确认库存、成本和市场价,
review_58161867,100元京东E卡,虚拟卡,确认,,,100,,待确认,待确认,,1,二选一;抽奖/盲盒;前N名;福利叠加;待确认,现金感福利;价格补强,待确认,200,1,P1,现金感强、历史高频，可优先确认面额和成本,
review_4d236d26,便携屏,实物,确认,,,,,待确认,待确认,,3,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,待确认,100/200/380/425/480/546/2456/2567,3,P1,历史重复出现，优先确认库存、成本和市场价,
review_be2d0fc4,充电宝,实物,确认,,,,,待确认,待确认,,1,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,待确认,99/179/200/288/329/899,1,P1,历史重复出现，优先确认库存、成本和市场价,
review_46ae9265,养生壶,实物,确认,,,,,待确认,待确认,,1;2,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,待确认,50/89/99/100/159/2680,1;2,P1,历史重复出现，优先确认库存、成本和市场价,
review_806b2279,小米行李箱,实物,确认,,,,,待确认,待确认,,1,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,待确认,200/209/2768,1,P1,历史重复出现，优先确认库存、成本和市场价,
review_f99e0252,带鱼屏,实物,确认,,,,,待确认,待确认,,6,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,待确认,18/50/100/888/1600,6,P1,历史重复出现，优先确认库存、成本和市场价,
review_abae299b,电动牙刷,实物,确认,,,,,待确认,待确认,,1;6,二选一;抽奖/盲盒;前N名;福利叠加;待确认,实物加赠;互动福利,待确认,49/66/69/85/90/99/100/200/329,1;6,P1,历史重复出现，优先确认库存、成本和市场价,
review_db7aef1b,200元京东卡,虚拟卡,确认,,,200,,待确认,待确认,,,二选一;抽奖/盲盒;前N名;福利叠加;待确认,现金感福利;价格补强,待确认,200,,P1,现金感强、历史高频，可优先确认面额和成本,
