merged_at,candidate_id,gift_id,gift_name,manual_status,manual_budget_cost,manual_stock_status,merge_status,is_selectable,notes
2026-07-07 16:16:59,trend_candidate_22a4ed24ad,gift_499f8ecf,护眼台灯,纳入正式库,169,待采购,active,TRUE,已进入 active。
2026-07-07 16:16:59,trend_candidate_362ecc8c1f,gift_461f7a31,200元京东卡,纳入正式库,200,按活动预算,active,TRUE,已进入 active。
2026-07-07 16:16:59,trend_candidate_0a50c9020f,gift_3eff84c5,200元立减金,纳入正式库,200,按活动预算,active,TRUE,已进入 active。
2026-07-07 16:16:59,trend_candidate_b787467bf7,gift_cd3dfc3e,100元京东E卡,纳入正式库,100,按活动预算,active,TRUE,已进入 active。
2026-07-07 16:16:59,trend_candidate_56a955d87c,gift_497908a9,交易复盘笔记本,纳入正式库,49,待采购,active,TRUE,已进入 active。
2026-07-07 16:16:59,trend_candidate_98c495b7e4,gift_fcc7a6e3,100元立减金,纳入正式库,100,按活动预算,active,TRUE,已进入 active。
2026-07-07 16:16:59,trend_candidate_36a35e2b48,gift_04d1fe0a,桌面计时器,纳入正式库,59,待采购,active,TRUE,已进入 active。
2026-07-07 16:16:59,trend_candidate_dbf969d139,gift_66f68e2f,桌面静音小风扇,纳入正式库,79,待采购,active,TRUE,已进入 active。
2026-07-07 16:16:59,trend_candidate_078162a7a3,gift_c32fdd18,无线鼠标,纳入正式库,89,待采购,active,TRUE,已进入 active。
2026-07-07 16:16:59,trend_candidate_96c9a07a61,gift_42922358,K线形态速查卡,纳入正式库,29,待采购,active,TRUE,已进入 active。
2026-07-07 16:16:59,trend_candidate_4d0f84b755,gift_bf7edacb,迷你筋膜按摩器,纳入正式库,129,待采购,active,TRUE,已进入 active。
2026-07-07 16:16:59,trend_candidate_0e76e9e11b,gift_17a1668b,保温杯,纳入正式库,69,待采购,active,TRUE,已进入 active。
