candidate_id,run_id,gift_name,normalized_name,source_platform,source_url,source_title,source_rank,reference_price,price_confidence,budget_band,category,benefit_type,suitable_months,suitable_events,suitable_play_types,persona_fit_notes,trend_reason,risk_notes,hot_score,persona_fit_score,cost_control_score,live_show_score,conversion_score,gift_score,manual_status,manual_actual_cost,manual_budget_cost,manual_market_price,manual_stock_status,manual_notes,updated_at
trend_candidate_22a4ed24ad,trend_run_7c8c75585c,护眼台灯,护眼台灯,manual_keyword_seed,,CSV最小实现候选：护眼台灯,1,169,低,151-200,实物,gift,1;2;3;4;5;6;7;8;9;10;11;12,大促;主福利位;抽奖,抽奖;二选一;前N名,适合看盘和学习场景，感知价值比小礼品更强。,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：办公室、桌面。,成本接近预算上限，需确认品牌和采购价。,5,5,5,4,4,92,待确认,,,,待确认,,2026-07-06 17:50:07
trend_candidate_362ecc8c1f,trend_run_7c8c75585c,200元京东卡,200元京东卡,internal_rule,,CSV最小实现候选：200元京东卡,2,200,中,151-200,优惠券,voucher,1;2;3;4;5;6;7;8;9;10;11;12,冲GMV;大促;互动二选一,二选一;抽奖;前N名,现金感强，适合做主福利位；不改变软件支付价。,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：京东。 这是现金感卡券，不改变 TradingHero 支付价。,预算消耗高，需要控制名额或用于大促。,5,5,5,5,5,92,待确认,,,,待确认,,2026-07-06 17:50:07
trend_candidate_0a50c9020f,trend_run_7c8c75585c,200元立减金,200元立减金,internal_rule,,CSV最小实现候选：200元立减金,3,200,中,151-200,立减金,price_discount,1;2;3;4;5;6;7;8;9;10;11;12,冲GMV;限时秒杀;大促,限时立减;前N名;二选一,直接降低支付价，表达最简单，适合冲 GMV 主福利位。,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：立减。 这是价格影响型福利，会直接降低最终支付价。,预算消耗到上限，必须明确最终支付价。,5,5,5,4,5,89,待确认,,,,待确认,,2026-07-06 17:50:07
trend_candidate_b787467bf7,trend_run_7c8c75585c,100元京东E卡,100元京东E卡,internal_rule,,CSV最小实现候选：100元京东E卡,4,100,中,51-100,优惠券,voucher,1;2;3;4;5;6;7;8;9;10;11;12,冲GMV;大促;互动二选一,二选一;前N名;主播特权,现金感强，用户容易理解；不改变软件支付价。,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：京东、E卡、100元。 这是现金感卡券，不改变 TradingHero 支付价。,不能说成降价，只能说加赠卡券。,5,5,4,5,5,88,待确认,,,,待确认,,2026-07-06 17:50:07
trend_candidate_56a955d87c,trend_run_7c8c75585c,交易复盘笔记本,交易复盘笔记本,manual_keyword_seed,,CSV最小实现候选：交易复盘笔记本,5,49,低,1-50,学习资料,gift,1;2;3;4;5;6;7;8;9;10;11;12,学习种草;课程承接;成交后加赠,学习礼包;保底赠送;前N名,能把购买理由从礼品拉回交易学习和复盘习惯。,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：交易。,需要定制内容才有差异化，否则像普通笔记本。,5,5,4,3,4,85,待确认,,,,待确认,,2026-07-06 17:50:07
trend_candidate_98c495b7e4,trend_run_7c8c75585c,100元立减金,100元立减金,internal_rule,,CSV最小实现候选：100元立减金,6,100,中,51-100,立减金,price_discount,1;2;3;4;5;6;7;8;9;10;11;12,冲GMV;限时秒杀;主播特权,限时立减;前N名;二选一,直接降低支付价，适合推动临门一脚转化。,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：立减、100元。 这是价格影响型福利，会直接降低最终支付价。,会改变最终支付价和 GMV 计算口径。,5,5,4,4,5,85,待确认,,,,待确认,,2026-07-06 17:50:07
trend_candidate_36a35e2b48,trend_run_7c8c75585c,桌面计时器,桌面计时器,manual_keyword_seed,,CSV最小实现候选：桌面计时器,7,59,低,51-100,实物,gift,1;2;3;4;5;6;7;8;9;10;11;12,交易纪律;学习种草;互动福利,二选一;前N名;学习礼包,可包装成交易纪律、复盘番茄钟，适合 TradingHero 人群。,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：交易员、桌面、办公。,需要主播讲清楚使用场景，否则只是普通小物。,5,5,4,4,3,83,待确认,,,,待确认,,2026-07-06 17:50:07
trend_candidate_dbf969d139,trend_run_7c8c75585c,桌面静音小风扇,桌面静音小风扇,manual_keyword_seed,,CSV最小实现候选：桌面静音小风扇,8,79,低,51-100,实物,gift,5;6;7;8,夏季直播;普通周转化;互动福利,二选一;前N名;限时福利,适合长时间看盘用户，实用性强，直播间容易展示。,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：夏季、办公室、桌面。,需要确认噪音、品牌和售后；不要采购过低价劣质款。,5,5,4,4,3,83,待确认,,,,待确认,,2026-07-06 17:50:07
trend_candidate_078162a7a3,trend_run_7c8c75585c,无线鼠标,无线鼠标,manual_keyword_seed,,CSV最小实现候选：无线鼠标,9,89,低,51-100,实物,gift,1;2;3;4;5;6;7;8;9;10;11;12,普通直播;互动福利;二选一,二选一;抽奖;前N名,办公和看盘场景都能理解，实用性强。,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：办公室、桌面、交易员。,品牌、手感和售后差异大，需要人工确认采购款。,5,5,4,4,3,83,待确认,,,,待确认,,2026-07-06 17:50:07
trend_candidate_96c9a07a61,trend_run_7c8c75585c,K线形态速查卡,K线形态速查卡,manual_keyword_seed,,CSV最小实现候选：K线形态速查卡,10,29,低,1-50,学习资料,gift,1;2;3;4;5;6;7;8;9;10;11;12,学习种草;新手转化;成交后加赠,学习礼包;主播特权;保底赠送,和交易学习强相关，适合作为低成本产品相关权益。,当前处于夏季/618后延续期，实用桌面、清凉小电器、现金感福利更容易被理解。关键词匹配：交易。,内容质量要可靠，避免过度承诺交易效果。,5,5,4,2,4,82,待确认,,,,待确认,,2026-07-06 17:50:07
